Company,Job Title,Posting Date,Skills,More Details
Kanak Counsultancy Services,Customer Care Executive Gurgaon location Day Shift,Posted today,inbound BPO|Domestic BPO|Day shift|Graduate,https://www.timesjobs.com/job-detail/customer-care-executive-gurgaon-location-day-shift-shristi-7838882457-resume-gurgaon-noida-greater-noida-0-to-1-yrs-jobid-ZhNKghLqH3dzpSvf__PLUS__uAgZw==&source=srp
Kanak Counsultancy Services,Customer Care Agent Noida location,Posted today,CCE|BPO voice|Customer Support,https://www.timesjobs.com/job-detail/customer-care-agent-noida-location-shristi-7838882457-resume-gurgaon-noida-greater-noida-0-to-2-yrs-jobid-0ZWWMmrX3glzpSvf__PLUS__uAgZw==&source=srp
solution enterprises pvt ltd  ( ncr corporation india pvt ltd ),Customer Care Representative,Posted today,problem solving|data entry|customer support|communication skills|troubleshooting|screening|recruitment,https://www.timesjobs.com/job-detail/customer-care-representative-solution-enterprises-pvt-ltd-ncr-corporation-india-pvt-ltd-mumbai-0-to-1-yrs-jobid-1lBqZDVE__SLASH__ZhzpSvf__PLUS__uAgZw==&source=srp
